,Mkt-RF,SMB,HML,RMW,CMA,RF,category,,Mkt-RF,SMB,HML,RMW,CMA,,Mkt-RF,SMB,HML,RMW,CMA,RF,category
196912,-2.63,-3.7,-3.02,2.47,-2.04,0.64,PT,average PT,-1.2431,-0.0617,0.6452,0.3969,0.8601,196307,-0.39,-0.47,-0.83,0.66,-1.15,0.27,TP
197001,-8.1,3.09,3.04,-1.77,3.92,0.6,PT,average TP,0.6788,0.3412,0.3621,0.2632,0.2275,196308,5.07,-0.79,1.67,0.39,-0.4,0.25,TP
197002,5.13,-2.58,4.04,-2.28,3.06,0.62,PT,SD PT,6.5772,3.6928,3.7805,2.2017,2.6220,196309,-1.57,-0.48,0.18,-0.76,0.24,0.27,TP
197003,-1.06,-2.4,4.25,-0.87,4.43,0.57,PT,SD TP,3.9730,3.0193,2.6944,2.2933,1.9701,196310,2.53,-1.29,-0.1,2.75,-2.24,0.29,TP
197004,-11,-6.3,6.39,-0.64,5.88,0.5,PT,,,,,,,196311,-0.85,-0.84,1.71,-0.45,2.22,0.27,TP
197005,-6.92,-4.42,3.6,-1.3,3.62,0.53,PT,,,,,,,196312,1.83,-1.89,-0.12,0.08,-0.3,0.29,TP
197006,-5.79,-2.17,0.87,0.19,2.9,0.58,PT,,,,,,,196401,2.24,0.08,1.59,0.22,1.5,0.3,TP
197007,6.93,-0.69,0.96,-0.07,1.9,0.52,PT,,std PT,std TP,,,,196402,1.54,0.32,2.83,0.06,0.85,0.26,TP
197008,4.49,1.54,1.03,0.57,-0.15,0.53,PT,average PT,,,,,,196403,1.41,1.41,3.32,-2.01,2.93,0.31,TP
197009,4.18,8.49,-5.58,0.24,-5.93,0.54,PT,average TP,,,,,,196404,0.1,-1.52,-0.55,-1.35,-1.08,0.29,TP
197010,-2.28,-4.5,0.27,1.83,2.38,0.46,PT,std PT,,,,,,196405,1.42,-0.68,1.98,-0.26,0.24,0.26,TP
197311,-12.75,-7.25,4.04,-2.71,1.49,0.56,PT,std TP,,,,,,196406,1.27,0.09,0.68,-0.42,0.14,0.3,TP
197312,0.61,-4.6,4.09,-2.8,2.3,0.64,PT,,,,,,,196407,1.74,0.53,0.68,0.14,1.84,0.3,TP
197401,-0.17,10.41,5.99,-3.01,4.47,0.63,PT,,,,,,,196408,-1.44,0.3,0.09,0.06,0.36,0.28,TP
197402,-0.47,0.16,2.54,-1.93,2.67,0.58,PT,,,,,,,196409,2.69,-0.31,1.65,-0.48,0.58,0.28,TP
197403,-2.81,2.64,-0.11,2.82,0.36,0.56,PT,,,,,,,196410,0.59,0.88,1.14,-0.29,0.48,0.29,TP
197404,-5.29,-0.63,1.06,2.86,1.85,0.75,PT,,,,,,,196411,0,-0.27,-1.98,0.6,-0.16,0.29,TP
197405,-4.68,-3.17,-2.04,5.08,0,0.75,PT,,,,,,,196412,0.03,-0.58,-2.55,1.13,-1.63,0.31,TP
197406,-2.83,-0.02,0.79,0.62,3.06,0.6,PT,,,,,,,196501,3.54,2.49,0.18,0.84,0.11,0.28,TP
197407,-8.05,1.99,5.14,-3.26,4.58,0.7,PT,,,,,,,196502,0.44,3.31,0.22,0.4,-0.69,0.3,TP
197408,-9.35,0.3,2.5,-0.26,2.55,0.6,PT,,,,,,,196503,-1.34,2.03,1.09,-0.3,0.73,0.36,TP
197409,-11.77,1.46,5.49,-4.28,5.91,0.81,PT,,,,,,,196504,3.11,1.18,0.71,0.26,-2.3,0.31,TP
197410,16.1,-6.85,-9.99,-0.03,-2.94,0.51,PT,,,,,,,196505,-0.77,0.06,-1.63,-0.37,0.7,0.31,TP
197411,-4.51,-1.44,-0.16,-3.39,2.95,0.54,PT,,,,,,,196506,-5.51,-4.3,0.55,0.12,0.41,0.35,TP
197412,-3.45,-4.36,0,-0.65,3.23,0.7,PT,,,,,,,196507,1.43,1.07,2.18,-1.41,-0.02,0.31,TP
197501,13.66,12.79,8.44,-0.89,-0.86,0.58,PT,,,,,,,196508,2.73,2.72,-0.96,2.06,-0.76,0.33,TP
197502,5.56,-0.65,-4.56,1.15,-2.14,0.43,PT,,,,,,,196509,2.86,0.62,-0.1,-0.82,0.82,0.31,TP
198001,5.51,1.9,1.8,-1.67,2.01,0.8,PT,,,,,,,196510,2.6,3.43,1.52,1.22,-0.76,0.31,TP
198002,-1.22,-1.49,0.62,0.11,3.04,0.89,PT,,,,,,,196511,-0.03,5.19,0.21,-1.06,-0.9,0.35,TP
198003,-12.9,-6.97,-1.06,1.38,-1.34,1.21,PT,,,,,,,196512,1.01,2.65,1.95,-1.28,-0.45,0.33,TP
198004,3.97,1,1.06,-2.09,0.54,1.26,PT,,,,,,,196601,0.72,4.72,3.49,-2.83,-0.07,0.38,TP
198005,5.26,2.1,0.39,0.31,-0.47,0.81,PT,,,,,,,196602,-1.21,4.86,0.27,-0.15,-1.44,0.35,TP
198006,3.06,1.47,-0.89,-0.09,-0.95,0.61,PT,,,,,,,196603,-2.51,0.22,-2.07,1.3,-0.01,0.38,TP
198107,-1.54,-1.97,-0.66,1.08,-3.04,1.24,PT,,,,,,,196604,2.14,3.38,-0.54,0.41,-0.91,0.34,TP
198108,-7.04,-1.81,4.84,-0.25,1.46,1.28,PT,,,,,,,196605,-5.66,-5.19,-1.55,1.66,-1.52,0.41,TP
198109,-7.17,-2.49,5.2,-0.02,2.79,1.24,PT,,,,,,,196606,-1.44,1.34,0.5,0.06,0.8,0.38,TP
198110,4.92,2.24,-4.21,3.29,-2.76,1.21,PT,,,,,,,196607,-1.63,-0.5,0.96,-0.45,1.78,0.35,TP
198111,3.36,-1.38,1.9,0.1,0.63,1.07,PT,,,,,,,196608,-7.91,-3.03,0.47,0.05,0.77,0.41,TP
198112,-3.65,1.19,0.74,0.19,2.41,0.87,PT,,,,,,,196609,-1.06,-1.19,0.53,-1.65,2.5,0.4,TP
198201,-3.24,-1.18,3.17,-1.52,2.08,0.8,PT,,,,,,,196610,3.86,-6.53,2.87,-3.64,4.28,0.45,TP
198202,-5.86,0.37,6.1,-3.38,4.57,0.92,PT,,,,,,,196611,1.4,3.37,-4.46,4.17,-6.53,0.4,TP
198203,-1.87,0,3.78,-1.44,2.37,0.98,PT,,,,,,,196612,0.13,1.93,-1.22,0.68,-0.13,0.4,TP
198204,3.27,1.15,-2.78,1.51,-0.15,1.13,PT,,,,,,,196701,8.15,9,2.22,0.62,-2.98,0.43,TP
198205,-3.99,0.56,1.81,0.91,-0.09,1.06,PT,,,,,,,196702,0.78,3.03,-2.17,1.94,-0.94,0.36,TP
198206,-3.09,-0.51,1.54,0.03,2.72,0.96,PT,,,,,,,196703,3.99,1.91,0.31,0.9,-1.51,0.39,TP
198207,-3.19,0.95,0.15,1.03,1.54,1.05,PT,,,,,,,196704,3.89,0.46,-2.64,2.43,-3.75,0.32,TP
198208,11.14,-4.29,1.16,-1.96,0.18,0.76,PT,,,,,,,196705,-4.33,2.37,0.8,-1.75,1.61,0.33,TP
198209,1.29,2.57,0.34,2.12,-0.04,0.51,PT,,,,,,,196706,2.41,6.47,0.96,-0.64,-2.38,0.27,TP
198210,11.3,1.92,-3.68,0.3,-0.37,0.59,PT,,,,,,,196707,4.58,3.48,2.65,0.51,2.73,0.31,TP
199007,-1.9,-3.27,-0.01,-0.27,3.1,0.68,PT,,,,,,,196708,-0.89,0.76,1.46,0.42,1.4,0.31,TP
199008,-10.15,-3.85,1.58,-0.43,2.99,0.66,PT,,,,,,,196709,3.11,2.46,-2.47,0.22,-0.96,0.32,TP
199009,-6.12,-3.78,0.73,-0.16,3.71,0.6,PT,,,,,,,196710,-3.09,0.46,-3.39,0.81,-2.57,0.39,TP
199010,-1.92,-5.07,0.22,2.87,-0.49,0.68,PT,,,,,,,196711,0.37,-0.05,-1.71,1.29,-2.29,0.36,TP
199011,6.35,-0.06,-3.16,0.82,-4.75,0.57,PT,,,,,,,196712,3.05,5.76,-0.39,-0.65,0.04,0.33,TP
199012,2.46,0.61,-1.54,2.86,-2,0.6,PT,,,,,,,196801,-4.06,4.48,4.75,-4.58,6.45,0.4,TP
199101,4.69,3.86,-1.84,1.55,-4.08,0.52,PT,,,,,,,196802,-3.75,-2.92,1.17,-0.14,2.48,0.39,TP
199102,7.19,3.96,-0.54,-0.27,-0.16,0.48,PT,,,,,,,196803,0.2,-1.52,-0.59,1.17,-1.15,0.38,TP
200103,-7.26,2.31,6.45,3.38,3.95,0.42,PT,,,,,,,196804,9.05,6.25,-1.03,2.79,-3.66,0.43,TP
200104,7.94,-0.64,-4.69,-2.71,-3.97,0.39,PT,,,,,,,196805,2.28,7.02,0.84,0.39,-1.85,0.45,TP
200105,0.72,3.58,3.14,0.18,2.19,0.32,PT,,,,,,,196806,0.69,-0.28,0.67,-1.33,2.65,0.43,TP
200106,-1.94,6.62,-1.06,2.04,-1.8,0.28,PT,,,,,,,196807,-2.72,-1.33,5.48,-3,3.59,0.48,TP
200107,-2.13,-2.91,5.58,7.17,3,0.3,PT,,,,,,,196808,1.34,2.29,1,-0.6,0.42,0.42,TP
200108,-6.46,2.72,2.5,3.95,6.5,0.31,PT,,,,,,,196809,4.03,2.78,0.24,-2.03,0.89,0.43,TP
200109,-9.25,-5.69,1.6,4.93,3.28,0.28,PT,,,,,,,196810,0.42,-0.42,2.89,-1.28,2.79,0.44,TP
200110,2.46,5.41,-8.1,-2.62,-4.6,0.22,PT,,,,,,,196811,5.43,2.41,-0.9,0.45,-2.5,0.42,TP
200712,-0.87,0.17,-0.52,0.71,-1.09,0.27,PT,,,,,,,196812,-3.94,3.6,0.02,-1.78,1.66,0.43,TP
200801,-6.36,-0.51,3.65,1.96,2.2,0.21,PT,,,,,,,196901,-1.25,-0.46,1.69,-1.56,1.38,0.53,TP
200802,-3.09,-0.52,-0.95,0.74,-1.07,0.13,PT,,,,,,,196902,-5.84,-4.12,0.9,2.18,0.79,0.46,TP
200803,-0.93,0.74,-0.15,1.11,0.47,0.17,PT,,,,,,,196903,2.64,-0.4,-0.46,-1.35,-0.41,0.46,TP
200804,4.6,-1.15,-0.96,1.29,-2.56,0.18,PT,,,,,,,196904,1.46,-0.82,0.03,0.39,0.08,0.53,TP
200805,1.86,3.21,-1.38,0.81,0.04,0.18,PT,,,,,,,196905,-0.1,-0.18,0.73,-0.98,1.51,0.48,TP
200806,-8.44,1.14,-2.43,4.31,-0.42,0.17,PT,,,,,,,196906,-7.18,-5.49,-1.09,4.26,-1.53,0.51,TP
200807,-0.77,3.67,5.81,-0.99,1.06,0.15,PT,,,,,,,196907,-7,-3.37,1.42,1.4,1.97,0.53,TP
200808,1.53,3.42,1.56,1.84,0.82,0.13,PT,,,,,,,196908,4.68,0.71,-3.87,1.16,-4.08,0.5,TP
200809,-9.24,0.38,6.33,2.91,1.82,0.15,PT,,,,,,,196909,-2.98,1.29,-3.19,3.42,-0.83,0.62,TP
200810,-17.23,-3.22,-2.9,3.61,1.89,0.08,PT,,,,,,,196910,5.06,3.89,-3.19,0.01,-2.03,0.6,TP
200811,-7.86,-3.89,-5.94,4.82,2.72,0.03,PT,,,,,,,196911,-3.79,-2.41,-1.12,1.44,0.32,0.52,TP
200812,1.74,3.36,-0.24,-0.07,-1.41,0,PT,,,,,,,197011,4.59,-4,1.63,1.75,1.59,0.46,TP
200901,-8.12,-2.06,-11.1,0.26,-1.19,0,PT,,,,,,,197012,5.72,3.02,1.01,0.14,0.28,0.42,TP
200902,-10.1,-1.19,-7.25,1.72,-1.11,0.01,PT,,,,,,,197101,4.84,7.54,1.38,-2.19,-0.14,0.38,TP
200903,8.95,0.66,3.52,-2.3,-2.25,0.02,PT,,,,,,,197102,1.41,2.05,-1.29,0.65,-0.72,0.33,TP
200904,10.19,6.73,5.46,0.28,0.14,0.01,PT,,,,,,,197103,4.13,2.15,-4.04,1.97,-2.69,0.3,TP
200905,5.21,-2.33,-0.21,-0.99,-2.12,0,PT,,,,,,,197104,3.15,-0.37,0.72,-1.56,0.72,0.28,TP
,,,,,,,,,,,,,,197105,-3.98,-1.17,-1.38,1.46,0.3,0.29,TP
,,,,,,,,,,,,,,197106,-0.1,-1.45,-2.06,1.52,-1.74,0.37,TP
,,,,,,,,,,,,,,197107,-4.5,-1.41,0.17,0.48,1.62,0.4,TP
,,,,,,,,,,,,,,197108,3.79,-0.18,2.67,-0.34,2.6,0.47,TP
,,,,,,,,,,,,,,197109,-0.85,0.19,-2.96,2.59,-1.56,0.37,TP
,,,,,,,,,,,,,,197110,-4.42,-1.65,-0.43,1.48,-1.24,0.37,TP
,,,,,,,,,,,,,,197111,-0.46,-2.9,-1.7,2.45,-0.36,0.37,TP
,,,,,,,,,,,,,,197112,8.71,3.27,-0.35,-0.43,-1.83,0.37,TP
,,,,,,,,,,,,,,197201,2.49,6.33,1.99,-1.48,0.29,0.29,TP
,,,,,,,,,,,,,,197202,2.87,0.96,-2.76,1.65,-0.52,0.25,TP
,,,,,,,,,,,,,,197203,0.63,-0.49,-1.73,1.58,-0.19,0.27,TP
,,,,,,,,,,,,,,197204,0.29,0.15,0.23,-0.59,-0.89,0.29,TP
,,,,,,,,,,,,,,197205,1.25,-3.15,-2.69,2.33,-1.85,0.3,TP
,,,,,,,,,,,,,,197206,-2.43,-0.35,-2.51,1.75,-0.36,0.29,TP
,,,,,,,,,,,,,,197207,-0.8,-2.74,0.78,1.08,-0.59,0.31,TP
,,,,,,,,,,,,,,197208,3.26,-3.53,4.69,-2.02,2.95,0.29,TP
,,,,,,,,,,,,,,197209,-1.14,-2.25,0.47,1.67,-1.98,0.34,TP
,,,,,,,,,,,,,,197210,0.52,-2.53,1.37,-0.12,-0.05,0.4,TP
,,,,,,,,,,,,,,197211,4.6,-0.53,4.76,-1.98,3.35,0.37,TP
,,,,,,,,,,,,,,197212,0.62,-1.82,-2.27,2.6,-2.2,0.37,TP
,,,,,,,,,,,,,,197301,-3.29,-2.79,2.68,0.4,0.92,0.44,TP
,,,,,,,,,,,,,,197302,-4.85,-4.01,1.7,-0.34,-0.01,0.41,TP
,,,,,,,,,,,,,,197303,-1.3,-2.31,2.78,-1.07,0.73,0.46,TP
,,,,,,,,,,,,,,197304,-5.68,-3,5.69,-1.63,2.71,0.52,TP
,,,,,,,,,,,,,,197305,-2.94,-5.98,0.21,2.02,-1.79,0.51,TP
,,,,,,,,,,,,,,197306,-1.56,-2.54,1.44,-0.27,0.22,0.51,TP
,,,,,,,,,,,,,,197307,5.05,7.25,-5.31,-0.1,-3.45,0.64,TP
,,,,,,,,,,,,,,197308,-3.82,-1.75,1.14,-1.36,1.2,0.7,TP
,,,,,,,,,,,,,,197309,4.75,3.54,2.18,-2.3,1.82,0.68,TP
,,,,,,,,,,,,,,197310,-0.83,-0.26,1.74,-1.94,2.59,0.65,TP
,,,,,,,,,,,,,,197503,2.66,3.98,2.49,1.23,-1.25,0.41,TP
,,,,,,,,,,,,,,197504,4.23,-0.59,-1.11,1.37,-1.35,0.44,TP
,,,,,,,,,,,,,,197505,5.19,2.89,-4.02,-1.05,-0.61,0.44,TP
,,,,,,,,,,,,,,197506,4.83,1.32,1.32,-2.62,1.06,0.41,TP
,,,,,,,,,,,,,,197507,-6.59,3.42,1.7,0.43,1.19,0.48,TP
,,,,,,,,,,,,,,197508,-2.85,-2.79,-0.9,1.03,-0.89,0.48,TP
,,,,,,,,,,,,,,197509,-4.26,0.02,0.34,0.53,0.5,0.53,TP
,,,,,,,,,,,,,,197510,5.31,-4.23,0.3,-0.46,2.27,0.56,TP
,,,,,,,,,,,,,,197511,2.64,-1.07,1.99,-0.62,1.71,0.41,TP
,,,,,,,,,,,,,,197512,-1.6,-0.03,1.76,-0.12,0.6,0.48,TP
,,,,,,,,,,,,,,197601,12.16,6.35,8.58,-1.9,2.36,0.47,TP
,,,,,,,,,,,,,,197602,0.32,7.97,5.78,-2.58,3.84,0.34,TP
,,,,,,,,,,,,,,197603,2.32,-1.34,-0.04,-0.38,1.09,0.4,TP
,,,,,,,,,,,,,,197604,-1.49,0.14,-0.06,0.39,-1.1,0.42,TP
,,,,,,,,,,,,,,197605,-1.34,-1.12,-1.32,2.47,-1.42,0.37,TP
,,,,,,,,,,,,,,197606,4.05,-1.13,0.68,-0.59,0.93,0.43,TP
,,,,,,,,,,,,,,197607,-1.07,0.62,1.74,-1.09,0.29,0.47,TP
,,,,,,,,,,,,,,197608,-0.56,-2.03,0.79,-0.46,-0.59,0.42,TP
,,,,,,,,,,,,,,197609,2.07,0.12,-0.29,0.99,-1.14,0.44,TP
,,,,,,,,,,,,,,197610,-2.42,0.16,-0.13,-0.22,-0.31,0.41,TP
,,,,,,,,,,,,,,197611,0.36,2.65,1.51,-1.39,0.08,0.4,TP
,,,,,,,,,,,,,,197612,5.65,3.61,2.22,-0.62,2.23,0.4,TP
,,,,,,,,,,,,,,197701,-4.05,5.9,4.26,-0.53,1.93,0.36,TP
,,,,,,,,,,,,,,197702,-1.94,1.11,0.5,-0.13,-0.19,0.35,TP
,,,,,,,,,,,,,,197703,-1.37,1.29,1.02,-0.32,-0.09,0.38,TP
,,,,,,,,,,,,,,197704,0.15,0.59,3.45,-2.03,1.16,0.38,TP
,,,,,,,,,,,,,,197705,-1.45,1.28,0.84,0.33,0.11,0.37,TP
,,,,,,,,,,,,,,197706,4.71,2.07,-0.64,0.88,-1.22,0.4,TP
,,,,,,,,,,,,,,197707,-1.69,1.82,-0.59,0.83,0.01,0.42,TP
,,,,,,,,,,,,,,197708,-1.75,0.89,-2.79,0.96,-0.62,0.44,TP
,,,,,,,,,,,,,,197709,-0.27,1.56,-0.49,1.23,-0.84,0.43,TP
,,,,,,,,,,,,,,197710,-4.38,1.5,1.72,-0.3,-0.46,0.49,TP
,,,,,,,,,,,,,,197711,4,3.62,0.31,-0.05,0.65,0.5,TP
,,,,,,,,,,,,,,197712,0.27,1.6,-0.37,0.94,-0.65,0.49,TP
,,,,,,,,,,,,,,197801,-6.01,2.69,3.31,-1.67,1.53,0.49,TP
,,,,,,,,,,,,,,197802,-1.38,3.67,0.76,0.36,1.04,0.46,TP
,,,,,,,,,,,,,,197803,2.85,3.72,1.2,-0.6,1.88,0.53,TP
,,,,,,,,,,,,,,197804,7.88,-0.31,-3.54,2.82,-1.35,0.54,TP
,,,,,,,,,,,,,,197805,1.76,4.56,-0.62,0.27,0.36,0.51,TP
,,,,,,,,,,,,,,197806,-1.69,1.59,0.59,-1.44,-0.02,0.54,TP
,,,,,,,,,,,,,,197807,5.11,0.15,-1.11,1.58,-0.78,0.56,TP
,,,,,,,,,,,,,,197808,3.75,4.93,-0.46,1.39,0.42,0.56,TP
,,,,,,,,,,,,,,197809,-1.43,-0.28,1.87,-0.68,1.8,0.62,TP
,,,,,,,,,,,,,,197810,-11.91,-10.05,1.36,0.17,1.03,0.68,TP
,,,,,,,,,,,,,,197811,2.71,2.85,-2.22,1.09,-1.21,0.7,TP
,,,,,,,,,,,,,,197812,0.88,1.07,-2.19,1.96,-1.38,0.78,TP
,,,,,,,,,,,,,,197901,4.23,3.84,2.27,-2.5,1.57,0.77,TP
,,,,,,,,,,,,,,197902,-3.56,0.55,1.2,-1.14,1.04,0.73,TP
,,,,,,,,,,,,,,197903,5.68,3.16,-0.67,0.62,0.28,0.81,TP
,,,,,,,,,,,,,,197904,-0.06,2.4,1.05,1.05,0.21,0.8,TP
,,,,,,,,,,,,,,197905,-2.21,0.5,1.92,-0.88,-0.84,0.82,TP
,,,,,,,,,,,,,,197906,3.85,0.99,1.48,-1.61,-0.45,0.81,TP
,,,,,,,,,,,,,,197907,0.82,1.24,1.7,-0.2,0.59,0.77,TP
,,,,,,,,,,,,,,197908,5.53,1.97,-1.55,1.58,-1.45,0.77,TP
,,,,,,,,,,,,,,197909,-0.82,-0.27,-0.87,1.02,0.54,0.83,TP
,,,,,,,,,,,,,,197910,-8.1,-3.46,-1.86,1.04,0.24,0.87,TP
,,,,,,,,,,,,,,197911,5.21,2.44,-3.25,0.11,-2,0.99,TP
,,,,,,,,,,,,,,197912,1.79,4.34,-1.98,-0.67,-1.01,0.95,TP
,,,,,,,,,,,,,,198007,6.49,3.93,-6.3,3.94,-2.46,0.53,TP
,,,,,,,,,,,,,,198008,1.8,4.26,-2.64,2.1,-0.8,0.64,TP
,,,,,,,,,,,,,,198009,2.19,0.58,-4.79,2.03,-2.81,0.75,TP
,,,,,,,,,,,,,,198010,1.06,2.33,-2.74,1.67,-1.22,0.95,TP
