date,RET,Mkt-RF,SMB,HML,RMW,CMA,RF
20060103,0.009120,0.015000,-0.001400,0.001300,0.002500,-0.003200,0.000170
20060104,-0.006936,0.004600,0.003000,0.000300,-0.004700,0.003000,0.000170
20060105,0.008466,0.000300,0.002400,-0.001400,-0.004800,0.001700,0.000170
20060106,0.004617,0.009200,0.000900,-0.002300,0.000100,0.001400,0.000170
20060109,-0.016503,0.004500,0.005200,-0.000900,0.000300,-0.000600,0.000170
20060110,-0.030353,0.000500,0.005900,0.000200,-0.002000,-0.001300,0.000170
20060111,-0.015794,0.002800,-0.002900,-0.001100,-0.004100,0.001300,0.000170
20060112,-0.012686,-0.006500,0.000800,-0.000300,-0.001000,0.000600,0.000170
20060113,0.000902,0.001700,0.001600,0.000600,0.000400,-0.000400,0.000170
20060117,-0.009009,-0.004000,-0.002400,0.002200,0.003900,-0.002700,0.000170
20060118,0.007273,-0.003500,0.004000,0.003000,-0.003500,0.002100,0.000170
20060119,0.002933,0.006300,0.009500,-0.000800,0.000200,0.001300,0.000170
20060120,-0.011924,-0.018000,0.004900,0.005100,0.002900,0.002700,0.000170
20060123,-0.004326,0.001800,0.002700,0.004300,0.003100,-0.002000,0.000170
20060124,0.006632,0.004400,0.010200,0.001600,-0.001100,-0.000400,0.000170
20060125,-0.009541,-0.002200,-0.000400,-0.001100,-0.001200,-0.001000,0.000170
20060126,0.024771,0.007900,0.008700,0.000400,0.000200,-0.000200,0.000170
20060127,0.012086,0.006700,-0.002000,-0.001700,0.000200,-0.003400,0.000170
20060130,-0.005750,0.001000,-0.001800,0.002100,0.000500,-0.000300,0.000170
20060131,-0.003114,-0.002100,0.005900,-0.000300,-0.000600,-0.003500,0.000170
20060201,-0.018742,0.001400,0.000800,0.000500,-0.004800,0.003900,0.000180
20060202,-0.028195,-0.008800,-0.002400,-0.000600,0.002100,0.000300,0.000180
20060203,-0.103182,-0.005100,0.002500,0.000100,-0.000700,-0.000200,0.000180
20060206,-0.009914,0.001000,0.003800,0.005000,0.003000,-0.000100,0.000180
20060207,-0.011331,-0.009200,-0.005500,-0.002200,-0.004000,0.004300,0.000180
20060208,0.017324,0.007700,-0.003200,-0.000900,-0.001600,0.003900,0.000180
20060209,-0.004716,-0.001900,-0.002200,-0.002700,-0.001500,0.003700,0.000180
20060210,0.013951,0.001500,-0.003800,-0.000500,0.000400,0.000600,0.000180
20060213,-0.017134,-0.004700,-0.004700,0.001400,0.000600,0.001700,0.000180
20060214,0.010301,0.010100,0.002200,-0.001100,-0.001600,-0.000100,0.000180
20060215,0.026405,0.004100,0.003600,-0.004700,0.000100,-0.000700,0.000180
20060216,-0.002802,0.007500,0.001100,0.002200,0.001700,0.000600,0.000180
